Tiempo;67Hz;71Hz;75Hz;79Hz;84Hz;89Hz;94Hz;100Hz;106Hz;112Hz;119Hz;126Hz;133Hz;141Hz;150Hz;158Hz;168Hz;178Hz;188Hz;200Hz;211Hz;224Hz;237Hz;251Hz;266Hz;282Hz;299Hz;316Hz;335Hz;355Hz;376Hz;398Hz;422Hz;447Hz;473Hz;501Hz;531Hz;562Hz;596Hz;631Hz;668Hz;708Hz;750Hz;794Hz;841Hz;891Hz;944Hz;1kHz;1,06kHz;1,12kHz;1,19kHz;1,26kHz;1,33kHz;1,41kHz;1,5kHz;1,58kHz;1,68kHz;1,78kHz;1,88kHz;2kHz;2,11kHz;2,24kHz;2,37kHz;2,51kHz;2,66kHz;2,82kHz;2,99kHz;3,16kHz;3,35kHz;3,55kHz;3,76kHz;3,98kHz;4,22kHz;4,47kHz;4,73kHz;5,01kHz;5,31kHz;5,62kHz;5,96kHz;6,31kHz;6,68kHz;7,08kHz;7,5kHz
01-01-2000 0:13;26,11;31,56;16,37;18,28;25,09;18,4;30,48;34,57;22,45;26,26;21,61;17,24;13,55;25,26;23,48;18,89;18,66;8,9;19,01;18,93;30,36;17,15;17,12;14,06;15,09;19,04;21,35;18,64;14,27;12,17;9,06;15,16;10,23;10,21;11,5;11,38;9,89;10,23;12,94;13,99;11,18;10,07;11,58;11,45;8,6;7,84;6,04;11,09;11,08;8,75;7,22;8,38;7,78;8,47;8,87;6,64;7,61;7,21;7,31;8,26;9,02;8,41;9,3;10,89;9,23;15,45;10,15;9,97;12,39;17,77;13,41;13,92;12,32;11,5;13,71;12,43;11,04;12,06;11,73;12,18;12,94;12,82;17,08
01-01-2000 0:13;24,19;14,31;21,66;14,77;21,93;11,51;15,96;27,83;19,37;24,75;25,71;26,86;14,61;24,57;24,92;19,35;17,06;15,1;20,64;16;28,46;17,19;19,57;22,92;15,9;14,23;18,16;14,02;12,9;13,31;12,8;11,4;19,09;14,15;17,11;16,29;11,58;14,6;8,9;12,16;8,9;9,88;12,06;7,68;8,54;10,38;9,89;11,09;9,51;8,79;8,96;10,87;7,1;8,61;11;7,88;8,73;9,54;8,37;10,17;8,68;11,36;9,44;9,27;9,27;13,87;8,84;9,88;12,13;17,38;12,14;13,58;11,29;9,78;11,65;11,75;10,86;11,01;11,88;10,75;11,76;12,72;17,23
01-01-2000 0:13;46,73;29,85;20,57;23,05;20,43;19,31;27,38;29,9;13,86;22,22;20,73;17,01;18,9;24,92;21,45;13,47;10,93;9,15;17,07;20,58;28,99;14,29;21,39;20,64;10,36;12,07;15,17;14,3;11,22;13,47;11,57;10,18;9,66;10,56;12,32;15,45;13,34;8,51;6,14;8,92;6,4;6,76;8,71;10,1;9,37;7,87;8,57;8,07;9,64;6,89;7,64;7,68;7,38;9,95;7,72;7,57;8,5;8,58;5,7;7,99;7,89;10,78;10,29;8,88;9,55;13,84;8,51;9,83;11,43;16,67;12,86;13,38;11,6;9,6;11,32;10,88;10,45;10,85;10,8;10,99;11,71;12,16;17,19
01-01-2000 0:13;40,51;43,64;40,1;26,68;15,49;18,92;35;37,36;11,89;21,11;23,03;24,75;17,31;26,62;22,7;12,49;12,75;12,99;20,11;19,38;29,36;18,29;16,15;17,12;21,71;17,78;16,8;11,46;15,36;11,42;12,21;13,72;8,5;10,96;10,98;11,12;17,85;11,13;8,89;10,76;9,9;7,11;10,93;10,35;7,42;7,38;8,13;9,48;8,76;7,88;9,82;6,98;9,13;9,59;8,47;9,37;8,77;9,95;6,97;9,33;8,58;9,61;9,03;8,67;8,75;13,52;8,91;9,49;12,6;16,79;13,05;12,97;11,21;10,47;11,6;12,23;10,26;10,04;10,35;11,67;11,49;12,09;16,27
01-01-2000 0:13;28,5;29,73;32,07;33,59;29,71;16,55;36,23;37,39;15,44;26,27;23,8;28,17;22,59;21,07;24,99;21,24;21,79;21,36;34,23;26,03;29,8;25,67;27,26;20,9;16,5;19,57;14,41;12,72;17,4;20,58;24,01;18,85;15,07;14,39;19,71;14,79;10,86;10,35;16,03;11,66;9,07;9,99;8,59;8,57;7,04;7,23;8,09;7,9;7,18;8,36;11,92;5,89;7,65;8,78;9,16;8,25;6,63;8,04;9,25;11,31;9,32;10,16;8,48;10,32;9,42;14,11;8,29;8,61;12,21;16,48;12,03;12,53;10,86;9,7;11,19;10,99;10,5;10,04;11,02;11,8;12,19;11,51;16,86
01-01-2000 0:13;25,55;26,99;21,27;27,18;34,03;25,71;36,84;38,34;19,57;26,54;22,25;30,79;17,51;21,59;21,77;16,22;18,68;17,27;28,46;23,84;29,57;17,75;19,28;16,27;15,23;17,46;17,97;8,95;11,61;14,91;14,36;16,44;14,39;11,98;11,87;11,34;13,47;11,27;8,52;7,86;7,63;9,65;7,82;8,86;8,09;7,04;6,99;9,31;7,17;7,83;11,18;9,18;5,32;9,95;9,38;8,4;5,8;8,66;6,7;7,67;10,77;9,73;8,19;8,92;8,01;14,63;8,52;8,72;11,34;15,73;13,66;13,32;10,69;9,97;11,32;11,54;9,86;10,95;11,74;11,43;10,91;11,3;16,46
01-01-2000 0:13;31,77;25,73;12,73;20,84;20,19;28,94;37,61;37,57;18,02;23,06;21,06;17,34;23,46;31,82;23,47;16,81;16,61;16,15;19,11;21,59;29,28;18,58;16,68;13,33;13,93;13,6;17,53;11,63;12,15;10,19;11,1;11,35;15,96;13,43;10,7;9,45;11,93;8,48;10,16;13,37;10,95;11,14;12,11;13,99;14,1;12,39;12,94;8,56;7,31;8,35;9,51;9,59;6,82;9,03;9,56;7,04;5,15;6,8;8,19;8,37;9,04;9,06;8,09;8,3;9,15;13,71;8,14;8;11,26;15,84;12,82;13,61;10,9;10,43;11,91;11,6;10,69;10,9;11,25;10,56;12,33;11,86;16,16
01-01-2000 0:13;25,77;21;19,83;22,16;26,02;26,78;34,73;34;22,28;26,77;20,97;20,53;24,58;27,14;23,06;23,04;22,9;20,43;23,8;26,84;30,22;18,56;22,13;21,4;18,55;18,68;17,7;11,72;13,35;17,2;17,36;30,5;32,29;20,6;17,28;15,91;18,21;19,6;18,23;17,92;19,06;22,94;23,62;25,24;18,32;20,04;20,42;15,91;10,88;10,63;10,77;9,54;9,04;11,39;7,89;7,67;7,59;8,98;7,1;8,71;9,12;7,13;8,9;8,73;7,92;14,25;7,09;8,11;11,15;16,33;12,02;13,36;11,17;10,62;12,28;11,62;10,96;10,54;10,7;10,62;12,4;11,64;15,39
01-01-2000 0:13;26,57;24,32;17,61;14,67;20,79;18,79;27,7;30;30,26;18,46;18,66;17,06;11,9;24,87;23,86;16,48;11,86;9,58;23,08;19,47;29,96;15,32;19,34;19,14;14,05;14,66;17;11,12;8,53;11,64;7,4;9,6;11,22;9,45;9,51;9,74;9,87;6,2;6,63;7,07;8,55;8,32;11,2;9,02;5,37;7,02;8,08;8,11;6,53;7,4;5,48;9,64;6,96;8,75;7,03;5,95;7,52;6,92;6,93;7,59;6,88;7,46;8,08;7,45;7,46;13,82;7,76;9,18;10,89;16,47;12,91;13,65;11,46;10,09;10,69;12,43;11,33;11,48;10,83;9,89;11,74;12,26;16,55
01-01-2000 0:13;18,37;8,12;20,12;14,92;23,38;18,03;24,06;29,21;17,63;26,8;17,63;23,24;4,59;20,69;19,75;14,24;16,89;17,38;19,17;18,41;31,01;17,88;18,33;12,4;11,04;12,67;14,51;9,35;12,44;9,47;9,86;9,58;10,59;12,54;11,82;7,83;11,26;9,48;10,15;5,8;8,69;7,79;8,1;8,52;8,22;7,01;6,98;9,89;7,82;7,05;8,7;8,68;8,92;11,85;7,95;7,79;8,24;7,85;8,83;7,33;7,15;9,04;7,88;8,42;9,2;14,48;8,31;9,18;12,02;16,75;13,59;13,05;11,98;10,17;12,24;11,13;11,71;11,83;11,73;12,3;13,12;12,45;17,35
