"Tiempo";"67Hz";"71Hz";"75Hz";"79Hz";"84Hz";"89Hz";"94Hz";"100Hz";"106Hz";"112Hz";"119Hz";"126Hz";"133Hz";"141Hz";"150Hz";"158Hz";"168Hz";"178Hz";"188Hz";"200Hz";"211Hz";"224Hz";"237Hz";"251Hz";"266Hz";"282Hz";"299Hz";"316Hz";"335Hz";"355Hz";"376Hz";"398Hz";"422Hz";"447Hz";"473Hz";"501Hz";"531Hz";"562Hz";"596Hz";"631Hz";"668Hz";"708Hz";"750Hz";"794Hz";"841Hz";"891Hz";"944Hz";"1kHz";"1,06kHz";"1,12kHz";"1,19kHz";"1,26kHz";"1,33kHz";"1,41kHz";"1,5kHz";"1,58kHz";"1,68kHz";"1,78kHz";"1,88kHz";"2kHz";"2,11kHz";"2,24kHz";"2,37kHz";"2,51kHz";"2,66kHz";"2,82kHz";"2,99kHz";"3,16kHz";"3,35kHz";"3,55kHz";"3,76kHz";"3,98kHz";"4,22kHz";"4,47kHz";"4,73kHz";"5,01kHz";"5,31kHz";"5,62kHz";"5,96kHz";"6,31kHz";"6,68kHz";"7,08kHz";"7,5kHz"
01-01-2000 0:00:29;9,49;5,69;11,75;4,62;6,7;8,72;10,47;11,34;16,7;15,14;11,93;7,78;8,9;9,51;9,26;11,76;9,18;5,24;9,88;16,41;13,72;12,14;7,79;9,06;8,86;7,8;10,42;3,71;4,51;8,86;11,73;14,53;16,27;17,88;8,04;7,22;7,15;5,01;10,8;15,08;13,22;5,42;7,05;3,07;4,17;5,96;2,75;4,34;5,04;3,24;4,4;3,88;5,03;3,98;3,92;4,33;5,29;6,57;6,01;6,22;5,81;6,76;7,01;8,33;7,62;13,51;6,55;7,41;8,63;8,39;9,02;8,87;9,78;9,61;9,1;10,06;10,21;10,07;10,27;11,38;10,47;11,62;11,56
01-01-2000 0:00:29;9,73;12,53;6,15;7,36;7,74;7,44;11,74;12,31;9,97;16,03;9,28;9,37;10,85;9,56;9,5;11,92;6,06;8,67;15,42;11,26;13,94;8,21;8,57;1,51;5,63;1,9;8,12;3,86;7,75;1,75;14,96;12,98;14,53;14,1;8,61;2,49;10,14;22,53;26,34;15,58;17,75;15,02;11,79;9,6;3,95;4,76;4,89;2,89;4,07;4,15;4,78;3,02;5,39;6,7;5,45;5,64;6,09;7,6;7,95;5,87;7,28;6,45;5,39;7,71;6,94;13,6;7,9;7,81;8,57;7,8;9,13;8,73;9,16;8,92;10,41;10,67;10,55;11,18;10,72;11,23;10,99;11,72;11
01-01-2000 0:00:30;2,22;4,07;6,07;6,29;3,56;2,92;6,86;3,36;10,61;11,57;3,13;4,93;10,97;5,45;8,98;21,45;12,38;5,43;7,94;5,1;9,37;8,23;6,28;11,93;7,4;6,2;11,54;2,45;14,25;11,23;10,18;14,06;12,08;12,18;11,05;17,34;8,33;13,04;12,35;9,34;8,45;4,97;7,31;4,57;5,7;5,04;6,62;3,11;5,08;5,22;4,59;4,3;5,3;6,11;6,45;5,9;4,68;5,43;6,84;8,08;7,59;8,23;7,85;8,75;11,42;13,86;9,11;7,36;8,52;8,52;8,78;9,8;9,88;9,27;9,42;10,56;10,2;10,63;11,03;10,4;11,19;11,38;11,83
01-01-2000 0:00:30;17,04;18,66;21,38;19,96;21,13;25,16;30,46;27,23;28,37;25,35;25,15;25,82;16,99;18,98;20,64;18,09;17,14;16,07;17,27;22,28;27,39;27,2;23,64;22,16;18,7;20,49;20,54;15,49;15,07;19,56;20,1;25,27;30,97;24,34;19,55;20,11;24,83;24,97;27,68;28,62;33,78;32,62;28,86;21,84;17,51;15,96;13;7,87;7,96;5,1;5,98;5,25;5,03;7,62;6,49;8,97;10,16;7,88;7,02;8,48;9,84;8,61;8,83;8,11;9,19;13,52;8,25;8,4;9,74;9,01;8,89;9,63;9,13;9,84;9,77;10,51;10,53;10,99;10,99;10,79;11,27;11,38;10,94
01-01-2000 0:00:31;15,89;21,8;22,45;24,62;27,6;27,8;32,73;33,96;34,77;34,38;30,42;29,79;26,41;27,88;27,11;24,75;25,16;24,29;24,47;26,21;26,07;21,77;14,07;14,58;14,35;12,2;20,04;15,16;16,22;16,04;19,34;25,69;26,81;22,2;19,73;17,41;21,88;23,12;20,34;20,68;31,54;29,98;27,6;20,26;15,27;14,94;11,3;12,99;11,6;5,65;5,94;9,14;12,18;9,93;9,52;12,17;13,79;12,15;9,27;7,37;9,39;9,43;7,86;7,45;9,63;13,61;8,74;8,17;8,34;9,68;9,43;8,88;8,82;10,13;10,82;11,13;10,02;11,71;11,27;11,6;11,45;11,42;13,06
01-01-2000 0:00:31;8,12;8,32;5,09;12,83;22,3;24,36;30,02;34,88;29,98;25,87;9,78;10,23;2,4;3,66;8,92;10,71;10;12,26;15,66;17,29;14,76;12,48;14,51;20,55;16,48;12,46;10,74;5,62;20,1;15,25;12,65;12,75;14,65;14,36;20,16;19,09;22,09;13,34;19,21;19,91;19,03;17,71;21,05;17,86;13,63;16,64;11,65;13,13;9,7;9,28;5,5;4,65;7,74;6,45;6,58;9,33;6,96;6,83;6,9;7,2;7,15;9,78;8,23;7,44;9,08;12,96;8,17;8,04;8,75;11,77;7,77;8,37;10,21;9,97;10,12;10,26;10,27;11,43;11,39;11,65;13,29;14,77;12,73
01-01-2000 0:00:32;12,07;12,22;7,09;7,88;3,32;8,1;6,38;6,2;11,47;10,18;7;3,91;22,46;19,7;5,66;10,89;11,1;2,95;5,37;12,62;4,12;12,7;9,46;20,35;18,93;14,15;9,23;6,04;7,9;8,11;6,94;21,43;14,07;6,6;8,35;16,7;18,31;11,39;11,39;8,18;8,61;10,02;13,47;18,52;8,55;7,86;8,85;7,98;10,34;6,31;10,52;10,73;9,13;10,47;10,37;10,66;10,39;12,65;9,57;9,72;11,77;11,34;9,88;11,38;10,78;15,38;9,59;10,17;11,49;10,21;10,02;12,18;12,25;12,13;11,23;12,26;12,39;12,64;12,17;11,73;12,17;11,71;12,03
01-01-2000 0:00:32;15,83;4,07;4,07;8,3;10,55;12,69;12,27;12,02;25,85;22,83;21,07;6,8;20,32;19,14;13,02;16,8;13,61;13,37;12,79;16,04;23,46;24,33;15,27;15,95;17,12;15,48;19,69;14,1;17,18;17,21;16;15,09;13,85;12,66;12,5;15,25;17,69;16,11;12,53;13,77;14,93;14,13;12,72;14,96;10,5;11,28;12,36;10,59;11,79;11,45;12,16;11,92;10,5;11,39;10,5;11,18;10,96;9,29;9,13;9,61;11,27;10,89;9,72;9,96;10,44;13,78;9,52;10,62;10,13;10,76;10,63;10,01;10,7;10,33;11,16;11,24;10,66;11,85;11,4;11,42;11,62;13,18;12,41
01-01-2000 0:00:33;1,74;8,09;-2,43;3,06;10,29;11;13,07;10,98;13,12;18,91;12,83;7,13;9,79;6,44;17,12;16,83;9,82;2,73;8;11,56;7,69;10,25;11,9;17,18;15,07;13,56;12,39;8,17;5,86;8,12;10,24;7,69;11,29;11;3,77;7,29;10,51;11,5;6,96;8,69;9,81;8,47;7,93;5,93;5,22;3,52;5,79;5,5;4,93;5,58;6,05;4,68;6,47;5,33;7,32;6;7,64;7,84;8,06;6,53;8,63;9,67;9,26;7,88;9,02;13,92;10,17;9,79;10,74;10,29;12,77;11,04;10,83;10,25;9,74;10,81;11,12;10,83;10,22;10,94;10,97;11,34;12,12
01-01-2000 0:00:33;7,78;0,95;5,53;4,9;9,2;-0,64;6,17;6,84;14,07;12,73;10,14;5,19;9,71;5,94;7,96;12,6;13,22;8,17;15,9;18,27;17,91;9,31;2,83;11;6,15;5,19;8,09;1,33;11,37;16,24;26,66;22,38;24,54;12,25;5,04;7,71;4,74;10,2;9,09;9,03;3,93;2,94;5,45;5,46;5,09;4;4,04;5,1;5,05;6,31;5,77;5,72;6,12;5,5;7,14;4,95;6,55;7,23;6,37;7,23;7,2;7,37;6,5;7,24;8,28;13,33;7,4;7,8;8,32;9,53;9,39;9,35;9,52;8,56;9,21;9,99;10,13;10,95;11,28;11,38;10,41;11,24;11,47
01-01-2000 0:00:34;9,6;8,46;-0,96;6,79;2,4;0,47;7,06;11,44;9,06;12,1;7,33;4,51;8,93;4,27;5,66;9,46;5,87;5,44;14,78;19,9;10,44;10,69;7,22;14,56;8,44;6,31;7,26;3,56;9,38;17,39;24,13;22,78;16,96;9,94;5,72;6,86;7,98;8,04;7,88;5,73;4,62;4,21;4,9;3,87;4,34;4,25;6,23;2,76;5,04;4,32;3,8;4,26;4,68;5,82;6,15;6,61;5,65;6,71;6,3;8,91;6,97;9,37;8,46;8,77;9,44;14,29;8,59;7,39;9,12;9,73;8,63;9,51;10,84;10,03;9,63;11;10,32;10,59;10,81;10,88;11,2;11,11;11,2
01-01-2000 0:00:34;6,48;9,49;9,76;10,79;4,7;7,07;13,87;8,52;7,32;5,32;9,65;5,44;14,74;6,66;14,56;13,75;7,08;6,7;9,63;12,72;9,35;7,17;2,21;11,7;14,51;9,86;13,99;5,87;12,24;15,22;16,15;13,79;14,41;7,14;3;8,14;6,78;7,19;4,11;4,2;3,18;4,13;5,42;3,38;4,54;6,38;5,03;5,88;5,17;5,24;1,99;5,78;5,95;6,99;6,11;5,54;6,03;6,72;6,51;6,27;7,75;7,94;7,36;8,87;7,49;14,42;7,84;9,38;8,97;10,21;8,76;9,74;10,09;10,53;9,94;10,49;11,03;10,91;10,51;10,47;11,5;10,99;12,07
